,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
93,44523,2,11,2,1,other,1,47,3.0,7,0,0,44,0
94,35420,4,11,0,0,other,1,44,4.0,13,0,0,53,0
95,43923,0,5,0,1,sourcing,1,31,4.0,4,1,0,86,0
96,64109,8,18,0,0,sourcing,1,23,3.329255780917055,1,0,0,77,0
97,41983,4,11,0,0,sourcing,1,33,3.0,5,0,0,57,0
98,21440,7,24,0,1,other,1,41,3.0,12,1,0,52,0
99,51256,1,11,2,1,other,1,60,5.0,17,0,0,59,0
100,66635,4,6,0,1,other,1,31,5.0,4,1,0,63,1
101,16027,4,18,0,0,other,1,37,3.0,11,0,0,57,0
102,46020,0,31,0,1,sourcing,2,39,3.0,4,1,0,83,0
103,28509,7,31,0,1,other,1,40,5.0,8,1,0,54,0
104,33587,7,20,2,1,sourcing,1,42,5.0,4,0,0,50,0
105,21387,4,4,0,1,other,1,35,4.0,6,1,0,57,1
106,55927,4,4,2,0,sourcing,1,41,4.0,6,1,0,62,0
107,60763,5,11,0,0,other,1,23,3.0,2,0,0,73,0
108,53167,7,7,0,1,sourcing,2,31,3.0,4,0,0,50,0
109,32672,0,14,2,1,other,1,42,2.0,19,0,0,79,0
110,48785,7,14,0,1,other,3,29,4.0,2,0,0,49,0
111,51444,2,4,0,0,other,1,30,3.329255780917055,1,1,0,54,0
112,75778,4,11,0,1,sourcing,1,41,4.0,6,1,0,63,0
113,14141,7,31,0,0,other,1,40,3.0,2,1,0,90,1
114,17894,7,11,0,1,referred,1,34,5.0,5,0,0,49,0
115,54380,7,28,0,0,other,1,31,4.0,2,0,0,46,0
116,51892,8,11,0,1,other,1,27,5.0,2,0,0,86,1
117,3625,5,13,0,1,sourcing,4,30,3.0,2,0,0,72,0
118,38771,5,15,0,0,other,1,27,4.0,4,1,0,72,1
119,18959,8,6,0,1,other,4,36,4.0,7,0,0,82,0
120,21137,8,11,0,1,sourcing,1,35,4.0,6,0,0,77,0
121,26097,7,17,2,1,other,1,34,5.0,7,1,0,51,1
122,38052,5,27,2,1,sourcing,1,37,5.0,3,0,1,92,1
123,41746,4,14,0,0,sourcing,1,27,3.329255780917055,1,1,0,58,0
124,72744,5,11,2,1,sourcing,2,47,3.0,5,1,0,71,0
125,5461,0,32,0,1,other,1,28,3.329255780917055,1,1,0,83,0
126,15227,5,19,2,0,other,1,40,5.0,5,0,0,68,0
127,66874,7,19,0,0,other,1,30,3.329255780917055,1,0,0,50,0
128,42068,4,0,2,1,other,1,38,5.0,9,1,0,61,0
129,54825,7,17,0,1,other,1,30,3.0,2,0,0,47,0
130,77709,7,2,0,0,sourcing,1,28,5.0,3,0,0,46,0
131,43712,5,14,0,1,sourcing,2,28,5.0,4,1,0,67,0
132,74783,4,21,0,1,sourcing,1,35,4.0,7,0,0,58,0
133,19318,0,14,0,1,other,1,32,3.0,8,0,0,89,1
134,12096,7,18,2,1,sourcing,1,36,5.0,8,0,0,50,0
135,5102,4,31,0,1,sourcing,1,24,3.329255780917055,1,1,0,56,0
136,29521,8,6,0,1,other,1,27,3.0,4,1,0,78,0
137,36371,1,20,2,1,other,2,34,3.0,7,0,0,56,0
138,51164,8,5,0,0,other,1,31,4.0,4,1,1,78,0
139,17812,8,19,0,0,sourcing,1,30,4.0,2,0,0,77,0
140,7606,8,21,0,0,other,2,30,3.0,7,1,1,76,0
141,50593,1,15,0,1,sourcing,1,31,3.329255780917055,1,1,0,56,0
142,73735,0,17,0,1,other,1,30,5.0,3,1,0,84,0
143,29313,1,14,0,1,sourcing,1,28,3.0,2,0,0,57,0
144,40262,8,11,0,1,other,2,28,3.0,5,0,0,81,0
145,36904,7,6,0,1,other,1,29,3.0,2,0,0,51,0
146,62552,7,14,2,1,sourcing,1,46,3.0,11,1,0,51,0
147,63285,8,21,0,1,sourcing,1,31,5.0,4,1,0,80,0
148,74203,5,29,0,1,sourcing,1,28,1.0,4,0,0,72,0
149,75344,7,28,2,1,other,1,31,4.0,6,0,0,50,0
150,74018,2,31,2,0,other,1,37,3.0,9,0,0,48,0
151,34985,8,29,0,0,other,2,34,5.0,8,0,0,88,1
152,35930,5,11,0,1,sourcing,1,25,5.0,3,1,0,70,1
153,6708,4,14,2,1,sourcing,1,40,4.0,4,1,0,57,0
154,5515,4,4,2,1,other,1,43,3.0,7,1,0,56,1
155,53373,4,4,0,1,other,1,36,1.0,5,0,0,56,0
156,69316,3,21,0,1,sourcing,1,29,3.0,3,0,0,63,0
157,41009,1,4,0,1,sourcing,2,35,3.0,2,0,0,56,0
158,50622,0,17,2,1,other,1,34,5.0,2,0,0,84,0
159,30106,7,7,0,0,sourcing,1,32,4.0,4,1,0,45,0
160,45157,2,28,0,1,other,1,27,3.329255780917055,1,1,0,50,0
161,23523,8,18,0,1,sourcing,1,29,3.0,5,0,0,75,0
162,74349,7,29,0,1,sourcing,1,34,1.0,4,0,0,48,0
163,70543,5,11,2,1,sourcing,1,37,5.0,7,1,0,70,0
164,42245,5,14,0,0,other,1,33,3.0,3,1,0,73,0
165,34405,5,11,2,0,other,1,33,5.0,4,1,0,67,0
166,4134,7,7,0,0,other,1,39,1.0,8,0,0,45,0
167,23599,8,15,2,1,other,1,34,4.0,7,0,0,82,0
168,942,8,14,0,1,other,2,32,4.0,6,0,0,84,0
169,5281,7,31,2,1,other,1,34,4.0,6,0,0,53,0
170,197,1,3,0,1,other,1,29,5.0,6,1,0,61,0
171,37574,7,11,0,1,sourcing,2,28,1.0,2,0,0,50,0
172,26773,8,31,0,0,other,1,28,2.0,5,0,0,75,0
173,70034,5,11,2,0,other,2,35,3.0,9,0,0,70,0
174,40565,8,11,0,0,other,2,40,3.0,3,0,0,86,0
175,17193,7,11,0,0,other,2,27,2.0,4,0,0,54,0
176,76550,5,14,0,0,other,3,26,3.0,3,1,0,70,0
177,53841,4,11,0,1,sourcing,1,43,2.0,12,0,0,57,0
178,28314,1,18,0,1,other,1,23,3.329255780917055,1,0,0,61,0
179,30196,0,17,0,1,sourcing,1,29,5.0,6,1,0,84,0
180,29757,7,5,0,1,sourcing,1,43,3.0,15,0,0,51,0
181,6073,7,11,0,1,sourcing,3,27,4.0,4,0,0,49,0
182,9863,5,19,0,1,sourcing,1,26,4.0,4,1,0,70,0
183,34306,5,4,0,0,other,1,31,5.0,5,1,0,72,0
184,34041,4,31,0,1,other,1,40,4.0,11,0,0,58,0
185,21356,4,6,0,0,other,2,39,5.0,12,1,0,55,0
186,29540,4,11,0,0,other,2,30,3.0,6,0,0,57,0
187,51669,8,11,2,1,other,1,47,4.0,4,1,0,77,0
188,33825,7,8,0,1,other,1,34,4.0,7,1,0,48,1
189,6254,4,11,0,0,other,1,33,4.0,9,0,0,64,0
190,11645,7,15,2,1,other,1,41,5.0,7,0,0,51,0
191,3231,8,31,0,1,other,1,29,1.0,4,0,0,80,0
192,7030,0,24,0,0,other,1,32,3.0,4,0,0,86,0
193,54198,5,31,2,0,other,1,47,5.0,9,0,0,68,0
194,62293,4,19,0,1,other,1,35,4.0,3,0,0,65,0
195,25312,8,14,0,1,other,1,27,4.0,2,0,0,75,0
196,75610,0,25,0,1,other,1,29,1.0,3,0,0,81,0
197,16518,7,12,0,1,sourcing,2,36,3.0,9,0,0,49,0
198,42747,7,6,0,1,other,2,35,1.0,8,0,0,39,0
199,67980,5,11,0,0,sourcing,2,34,3.0,2,0,0,70,0
200,53630,7,15,2,0,sourcing,1,34,4.0,5,1,1,94,1
201,72423,4,11,2,1,sourcing,1,39,3.0,2,1,0,60,0
202,73022,7,17,0,1,other,1,26,5.0,2,1,0,51,0
203,63976,4,24,0,0,sourcing,1,30,5.0,4,0,0,56,0
204,60761,4,7,0,0,other,1,31,4.0,2,0,0,62,0
205,57228,2,11,2,1,sourcing,1,44,5.0,6,0,0,48,0
206,14912,7,0,0,1,other,1,38,3.0,4,1,0,49,0
207,22725,8,18,0,1,other,1,40,1.0,3,0,0,78,0
208,18981,3,11,2,1,sourcing,1,50,5.0,6,0,1,58,0
209,50845,5,10,2,1,other,1,44,3.0,12,0,0,70,0
210,11800,5,11,1,0,other,1,23,1.0,2,0,0,69,0
211,16351,7,31,2,0,sourcing,1,36,1.0,2,0,0,53,0
212,75881,0,19,0,1,sourcing,1,25,1.0,4,0,0,80,0
213,73200,4,20,0,1,sourcing,1,34,5.0,4,1,0,58,0
214,17833,0,28,0,1,sourcing,1,28,3.329255780917055,1,0,0,85,0
215,58338,0,0,0,1,other,2,30,5.0,6,1,0,81,0
216,40187,5,3,0,1,sourcing,1,35,1.0,8,0,0,67,0
217,70193,0,30,0,1,sourcing,1,33,4.0,8,0,0,86,0
218,27188,0,4,2,1,other,1,30,3.0,4,1,0,80,0
219,24291,0,18,0,1,other,2,27,5.0,3,1,0,85,0
220,43676,5,11,0,1,other,4,29,3.329255780917055,1,0,0,68,0
221,52231,4,11,0,1,sourcing,1,43,3.0,3,0,0,58,0
222,34241,0,14,0,1,other,2,28,3.0,5,1,0,86,0
223,76661,5,8,0,1,other,1,31,5.0,3,1,0,68,0
224,50595,4,11,0,0,other,1,43,4.0,12,0,0,58,0
225,67673,4,28,0,0,other,1,35,5.0,9,1,0,60,0
226,10547,7,29,0,1,other,2,35,3.0,9,0,0,49,0
227,73405,4,11,2,1,other,1,50,3.0,8,1,0,59,0
228,73114,2,8,0,0,other,1,26,4.0,3,0,0,50,0
229,22572,7,19,0,1,sourcing,1,32,3.0,5,1,0,52,0
230,62923,4,4,2,0,other,1,38,5.0,2,1,1,93,1
231,57235,7,18,0,1,other,1,22,4.0,2,0,0,51,0
232,22300,2,12,0,1,other,1,28,3.329255780917055,1,1,0,52,0
233,24090,5,5,0,0,sourcing,1,37,3.0,9,0,0,69,0
234,57298,0,11,0,1,sourcing,2,54,3.0,9,1,0,86,0
235,25629,7,2,0,1,sourcing,1,36,3.0,8,0,0,51,0
236,71339,8,30,0,1,other,1,35,3.0,8,0,0,78,0
237,54714,0,21,0,1,other,1,39,3.0,4,1,0,85,0
238,7390,4,3,0,0,sourcing,1,31,5.0,4,1,0,63,0
239,9563,4,24,0,1,other,2,38,3.0,7,1,1,60,0
240,39107,7,14,0,1,sourcing,1,28,1.0,2,0,0,48,0
241,19445,7,31,0,1,sourcing,3,26,2.0,3,0,0,52,0
242,42636,7,18,0,1,sourcing,1,29,3.329255780917055,1,0,0,54,0
243,32557,0,12,0,1,sourcing,1,30,3.0,4,0,0,84,0
244,43396,4,14,0,1,sourcing,2,37,2.0,4,1,0,57,1
245,24414,6,11,0,1,other,1,25,3.329255780917055,1,1,0,76,0
246,63237,8,14,0,1,referred,1,26,4.0,2,0,0,82,0
247,32838,8,31,0,1,other,1,31,4.0,4,0,0,78,0
248,23003,8,5,0,0,other,1,38,5.0,7,1,0,82,0
249,45198,7,4,0,1,other,1,39,4.0,9,0,0,49,0
250,40376,7,28,0,1,other,1,30,5.0,4,0,1,50,0
251,60176,5,6,2,0,other,1,34,5.0,8,1,0,67,0
252,67652,5,15,2,0,other,1,33,3.0,5,1,0,72,0
253,15476,8,11,0,0,other,1,29,5.0,3,1,0,78,0
254,55811,4,11,0,1,sourcing,1,28,4.0,2,1,0,61,0
255,15737,1,14,0,1,sourcing,1,24,3.329255780917055,1,0,0,56,0
256,10058,0,14,0,1,other,2,26,4.0,2,1,0,87,0
257,73435,3,14,0,1,sourcing,1,34,5.0,4,0,0,64,0
258,51255,7,19,0,1,sourcing,1,35,3.0,7,0,0,46,0
259,70060,8,4,2,1,other,1,43,3.0,14,0,0,79,0
260,51473,7,6,0,1,other,1,34,1.0,8,0,0,39,0
261,71904,8,31,2,0,other,2,38,3.0,10,0,0,88,0
262,76080,4,31,0,0,other,1,34,1.0,5,0,0,54,0
263,33357,4,14,0,1,sourcing,1,41,4.0,4,0,0,63,0
264,53502,1,31,0,1,sourcing,2,29,1.0,4,0,0,61,0
265,26409,4,11,0,1,other,1,33,4.0,3,0,0,61,0
266,59608,7,11,2,0,other,1,41,4.0,5,1,0,48,0
267,28687,4,11,2,1,other,3,38,3.0,11,0,0,57,0
268,34312,5,11,2,0,other,2,54,4.0,23,0,0,66,0
269,11438,7,4,2,0,sourcing,2,34,2.0,8,0,0,49,0
270,11794,6,11,0,1,other,2,26,5.0,3,1,0,87,0
271,48756,4,31,0,0,sourcing,1,35,5.0,3,0,0,59,0
272,35873,3,11,1,1,other,1,28,3.329255780917055,1,0,0,62,0
273,13970,4,26,2,1,other,1,36,3.0,4,0,0,60,0
274,49868,8,29,0,1,other,1,45,3.0,15,0,0,87,0
275,25261,5,31,2,1,other,1,38,4.0,7,0,0,66,0
276,44536,7,19,0,0,other,1,26,2.0,4,0,0,47,0
277,55550,0,19,0,1,sourcing,1,31,3.0,4,0,0,85,0
278,27989,0,27,0,1,sourcing,1,32,3.0,7,0,0,87,0
279,12598,0,30,0,1,sourcing,1,29,4.0,4,0,0,78,0
280,32877,7,11,0,0,other,1,40,3.0,12,0,0,50,0
281,30682,8,11,0,1,referred,2,29,4.0,6,0,0,75,0
282,1829,0,20,0,1,other,2,31,5.0,7,1,0,87,0
283,2177,1,7,0,1,other,1,32,5.0,6,1,0,58,0
284,51771,4,8,0,1,other,1,42,5.0,11,0,0,67,0
285,26026,5,6,0,0,sourcing,1,30,5.0,3,1,0,65,0
286,64977,5,7,0,0,other,1,24,3.0,2,1,0,70,0
287,44585,7,23,0,1,sourcing,1,35,3.0,7,0,0,56,0
288,43562,8,29,0,0,sourcing,2,32,1.0,3,0,0,80,0
289,56287,2,11,0,0,sourcing,1,22,3.0,2,0,0,47,0
290,19100,7,11,0,1,sourcing,2,44,5.0,14,0,0,48,0
291,58203,4,7,0,1,other,2,39,3.0,9,0,0,58,0
292,12504,8,31,0,0,other,1,46,4.0,17,0,0,85,0
293,49126,8,6,0,1,other,1,29,2.0,5,0,0,77,0
294,66469,1,31,0,1,other,1,26,1.0,3,0,0,59,0
295,53350,4,15,0,1,other,1,35,4.0,5,0,0,61,0
296,22031,5,11,0,0,other,1,29,4.0,2,1,0,95,1
297,36185,8,4,0,1,sourcing,1,30,2.0,9,0,0,79,0
298,58415,7,31,0,1,other,1,45,4.0,5,0,0,50,0
299,71763,7,6,0,0,other,1,30,1.0,6,0,0,47,0
300,62742,1,25,0,1,sourcing,1,28,2.0,4,0,0,59,0
301,33619,8,11,2,1,sourcing,1,46,5.0,10,1,0,76,0
302,41212,5,31,0,1,sourcing,1,27,2.0,2,0,0,69,0
303,40204,7,2,0,1,sourcing,1,34,2.0,5,0,0,47,0
304,59131,0,10,0,1,sourcing,2,32,5.0,3,1,0,86,0
305,12559,4,14,0,0,other,1,35,5.0,10,0,0,63,0
306,30433,5,19,0,1,other,1,36,4.0,3,1,0,66,0
307,13150,5,11,2,0,other,1,58,1.0,13,0,0,70,0
308,9616,1,24,0,1,other,1,29,4.0,4,0,0,57,0
309,26563,5,11,0,0,referred,1,33,3.0,3,1,0,67,0
310,38331,4,7,0,0,other,1,32,5.0,6,0,0,62,0
311,18651,3,14,1,1,other,1,25,5.0,2,1,0,59,0
312,45004,5,4,0,1,other,4,41,2.0,9,0,0,68,0
313,11892,5,3,0,0,other,1,25,3.329255780917055,1,1,0,69,0
314,16859,0,11,2,1,other,1,50,1.0,7,0,1,79,0
315,26107,7,18,0,1,other,1,30,1.0,7,0,0,53,0
316,22511,8,16,0,1,sourcing,1,28,3.329255780917055,1,0,0,81,0
317,22865,0,12,2,1,other,1,40,5.0,5,0,1,83,1
318,67467,1,11,1,0,other,1,26,3.0,2,0,0,61,0
319,2268,8,4,0,1,other,1,35,5.0,8,1,0,81,0
320,33517,7,31,2,1,other,1,37,3.0,7,1,0,52,0
321,27605,4,14,2,1,other,1,34,3.0,3,0,0,75,1
322,69349,4,32,0,1,sourcing,1,25,3.0,2,0,0,57,0
323,45496,7,11,0,1,other,1,22,5.0,2,0,0,62,1
324,66262,5,11,0,0,other,2,26,5.0,2,1,0,68,1
325,55425,8,11,0,0,other,1,31,4.0,7,1,0,80,0
326,29543,1,11,0,1,sourcing,4,31,5.0,3,1,0,60,0
327,36547,0,17,0,1,sourcing,1,32,3.0,6,1,0,86,0
328,11205,7,10,0,1,sourcing,1,36,5.0,8,0,0,48,0
329,469,8,11,0,0,sourcing,1,57,3.0,19,0,0,81,0
330,44703,7,11,0,0,sourcing,1,42,4.0,9,0,0,51,0
331,14847,7,12,0,1,other,1,28,3.0,3,0,0,48,0
332,43689,0,3,0,1,sourcing,2,33,4.0,3,1,0,86,0
333,72157,0,11,0,1,sourcing,1,41,3.0,3,0,0,86,0
334,74579,4,11,1,1,other,2,26,3.329255780917055,1,0,0,61,0
335,51544,5,3,0,0,other,1,32,5.0,5,0,1,84,1
336,5128,4,11,0,1,other,1,48,3.0,8,0,0,57,0
337,37952,4,18,2,1,other,1,41,3.0,7,0,0,58,0
338,39914,8,11,2,1,other,1,31,5.0,4,1,0,82,0
339,74332,7,18,0,1,other,1,37,4.0,5,0,0,54,0
340,42886,0,21,0,1,other,1,30,1.0,4,0,0,84,0
341,53988,1,11,1,1,other,1,26,5.0,2,1,0,60,0
342,49775,7,4,0,1,sourcing,1,44,5.0,11,0,0,42,0
343,66965,4,31,0,0,sourcing,1,44,3.0,10,0,0,60,0
344,70197,6,14,2,1,other,1,30,4.0,2,1,0,96,1
345,66210,4,14,1,1,other,1,24,3.0,2,0,0,59,0
346,71008,7,19,0,1,other,1,40,1.0,10,0,0,49,0
347,52132,8,2,2,1,other,1,32,3.0,5,0,0,80,0
348,72604,7,11,0,1,sourcing,1,40,5.0,7,0,0,53,0
349,66802,8,31,1,0,other,2,24,4.0,3,1,0,78,0
350,55730,7,18,0,1,other,1,45,4.0,15,0,0,64,1
351,8284,7,11,0,0,other,1,34,5.0,5,0,0,60,1
352,69715,4,11,0,0,other,1,58,4.0,18,1,0,60,0
353,36117,8,16,0,1,sourcing,1,35,3.0,7,0,0,82,0
354,56139,7,7,0,1,other,1,24,4.0,2,0,0,51,0
355,15924,7,15,0,1,other,1,35,2.0,8,0,0,48,0
356,41776,8,15,0,1,sourcing,1,31,1.0,2,0,0,81,0
357,25949,4,21,0,1,other,1,33,3.0,5,0,0,60,0
358,51509,2,11,2,0,sourcing,1,44,3.0,14,0,0,47,0
359,36936,7,20,0,1,other,1,24,2.0,2,1,0,52,1
360,25572,5,11,0,1,other,2,34,2.0,10,0,0,69,0
361,11337,7,14,0,1,sourcing,1,37,5.0,2,0,0,54,0
362,34965,4,18,0,1,other,2,31,3.0,4,0,0,63,0
363,38318,5,10,0,1,other,1,32,3.0,8,0,0,69,0
364,60969,4,11,0,0,other,1,33,5.0,7,1,0,57,0
365,72765,4,11,0,0,sourcing,1,53,3.0,11,0,0,57,0
366,16951,4,14,0,1,sourcing,2,37,5.0,4,1,0,57,0
367,54416,7,6,0,1,sourcing,1,30,2.0,5,0,0,49,0
368,4585,0,6,0,1,sourcing,1,35,5.0,3,1,0,81,0
369,64140,8,2,0,1,sourcing,1,32,3.0,4,0,0,80,0
370,35746,4,6,0,1,sourcing,1,45,3.0,9,0,0,61,0
371,6587,5,4,0,1,other,1,29,3.329255780917055,1,0,0,69,0
372,1901,7,28,0,1,sourcing,2,31,3.0,4,0,0,53,0
373,56849,8,6,0,1,sourcing,2,34,3.0,8,0,0,80,0
374,56233,0,14,0,0,other,1,24,3.329255780917055,1,1,0,86,0
375,15844,4,22,2,0,other,1,31,5.0,7,1,0,59,0
376,1497,7,1,2,0,other,1,37,3.0,6,1,0,47,0
377,11488,7,31,2,1,other,1,42,3.0,12,0,0,48,0
378,59616,5,28,2,1,other,1,40,3.0,6,0,0,72,0
379,9002,4,11,0,1,sourcing,1,37,5.0,5,1,0,64,0
380,63753,4,14,0,1,other,1,50,3.0,8,0,0,57,0
381,9192,4,13,0,1,other,1,28,3.329255780917055,1,0,0,61,0
382,30143,2,11,2,0,referred,1,57,3.0,13,0,0,53,0
383,23360,7,20,2,1,other,2,42,2.0,10,0,0,46,0
384,53301,4,11,2,1,sourcing,1,34,3.0,8,0,0,61,0
385,29073,4,11,0,0,sourcing,1,34,5.0,8,1,0,54,0
386,36460,4,4,0,1,other,1,29,3.329255780917055,1,0,0,62,0
387,3171,4,28,2,0,referred,1,32,4.0,7,1,0,59,0
388,55062,4,31,0,0,sourcing,1,27,5.0,2,0,0,61,0
389,64798,0,14,0,1,other,3,30,3.329255780917055,1,1,0,83,0
390,7908,8,26,2,1,other,1,46,3.0,17,0,0,83,0
391,70048,7,0,2,1,other,1,37,3.0,10,1,0,49,1
392,63757,7,11,0,0,sourcing,1,48,4.0,13,0,0,52,0
393,19046,8,11,0,1,other,1,40,5.0,12,1,0,84,0
394,37427,8,12,0,1,other,1,32,3.0,6,0,0,73,0
395,58138,7,12,0,1,other,1,33,1.0,7,0,0,48,0
396,68064,5,15,0,0,other,1,35,3.0,6,0,0,66,0
397,6711,7,30,0,1,sourcing,1,23,3.0,2,0,0,51,0
398,51002,0,6,2,1,other,1,32,3.0,4,0,0,86,0
399,5132,4,11,0,1,sourcing,4,31,3.0,6,0,0,59,0
